Security,FB US Equity                                                    ,
Start Date,5/1/2015 0:00,
End Date,5/14/2021 0:00,
Period,D,
Currency,USD,
,,
Date,PX_LAST,PX_VOLUME
4/30/2019,193.4,23494689
4/29/2019,194.78,19641310
4/26/2019,191.49,22075002
4/25/2019,193.26,54148789
4/24/2019,182.58,37289871
4/23/2019,183.78,19954814
4/22/2019,181.44,13389889
4/18/2019,178.28,11655608
4/17/2019,178.78,9973732
4/16/2019,178.87,11215193
4/15/2019,179.65,10834762
4/12/2019,179.1,12329812
4/11/2019,177.51,8070967
4/10/2019,177.82,11701479
4/9/2019,177.58,19751031
4/8/2019,174.93,7297379
4/5/2019,175.72,9594133
4/4/2019,176.02,17847731
4/3/2019,173.54,27590058
4/2/2019,174.2,23946529
4/1/2019,168.7,10381490
3/29/2019,166.69,13455454
3/28/2019,165.55,10689171
3/27/2019,165.87,10620299
3/26/2019,167.68,15437920
3/25/2019,166.29,12631230
3/22/2019,164.34,16389185
3/21/2019,166.08,16223007
3/20/2019,165.44,20211474
3/19/2019,161.57,25611488
3/18/2019,160.47,37524191
3/15/2019,165.98,37126000
3/14/2019,170.17,18037364
3/13/2019,173.37,11973280
3/12/2019,171.92,12155264
3/11/2019,172.07,18883983
3/8/2019,169.6,13184831
3/7/2019,169.13,18306504
3/6/2019,172.51,21531723
3/5/2019,171.26,28187890
3/4/2019,167.37,18894689
3/1/2019,162.28,11097770
2/28/2019,161.45,11114185
2/27/2019,162.81,12697485
2/26/2019,164.13,13784063
2/25/2019,164.62,18737106
2/22/2019,161.89,15858468
2/21/2019,160.04,15607828
2/20/2019,162.56,11770692
2/19/2019,162.29,14345390
2/15/2019,162.5,15504415
2/14/2019,163.95,12755151
2/13/2019,164.07,14205146
2/12/2019,165.04,16292290
2/11/2019,165.79,12811176
2/8/2019,167.33,12561422
2/7/2019,166.38,17517609
2/6/2019,170.49,13281161
2/5/2019,171.16,22556985
2/4/2019,169.25,20036470
2/1/2019,165.71,30806513
1/31/2019,166.69,77233602
1/30/2019,150.42,44613240
1/29/2019,144.19,17631953
1/28/2019,147.47,15508483
1/25/2019,149.01,22250954
1/24/2019,145.83,20955518
1/23/2019,144.3,20098415
1/22/2019,147.57,22378694
1/18/2019,150.04,31029612
1/17/2019,148.3,15787914
1/16/2019,147.54,18025714
1/15/2019,148.95,24068822
1/14/2019,145.39,20520278
1/11/2019,143.8,12908031
1/10/2019,144.2,16125004
1/9/2019,144.23,22205879
1/8/2019,142.53,26263793
1/7/2019,138.05,20089337
1/4/2019,137.95,29002059
1/3/2019,131.74,22717948
1/2/2019,135.68,28146193
12/31/2018,131.09,24625308
12/28/2018,133.2,22627569
12/27/2018,134.52,31202509
12/26/2018,134.18,39723370
12/24/2018,124.06,22066002
12/21/2018,124.95,56901491
12/20/2018,133.4,40297944
12/19/2018,133.24,57404894
12/18/2018,143.66,24709084
12/17/2018,140.19,24333959
12/14/2018,144.06,21785820
12/13/2018,145.01,18148610
12/12/2018,144.5,23696936
12/11/2018,142.08,20300349
12/10/2018,141.85,26422173
12/7/2018,137.42,21195460
12/6/2018,139.63,28218145
12/4/2018,137.93,30307400
12/3/2018,141.09,24819226
11/30/2018,140.61,25732577
11/29/2018,138.68,24238713
11/28/2018,136.76,29847505
11/27/2018,135,20750318
11/26/2018,136.38,24263640
11/23/2018,131.73,11886128
11/21/2018,134.82,25469735
11/20/2018,132.43,41939475
11/19/2018,131.55,44362729
11/16/2018,139.53,37250560
11/15/2018,143.85,30320280
11/14/2018,144.22,22068384
11/13/2018,142.16,15141710
11/12/2018,141.55,18542123
11/9/2018,144.96,17326898
11/8/2018,147.87,24145814
11/7/2018,151.53,21877372
11/6/2018,149.94,16667124
11/5/2018,148.68,15969849
11/2/2018,150.35,24708695
11/1/2018,151.75,25640786
10/31/2018,151.79,60101251
10/30/2018,146.22,50528278
10/29/2018,142.09,31336784
10/26/2018,145.37,31303341
10/25/2018,150.95,22105696
10/24/2018,146.04,27744597
10/23/2018,154.39,19095032
10/22/2018,154.78,15424658
10/19/2018,154.05,19761347
10/18/2018,154.92,21675084
10/17/2018,159.42,17592003
10/16/2018,158.78,19180095
10/15/2018,153.52,15433521
10/12/2018,153.74,25293492
10/11/2018,153.35,35338901
10/10/2018,151.38,30609970
10/9/2018,157.9,18844425
10/8/2018,157.25,24045968
10/5/2018,157.33,25744047
10/4/2018,158.85,25739635
10/3/2018,162.43,23109456
10/2/2018,159.33,36030977
10/1/2018,162.44,26407677
9/28/2018,164.46,34265638
9/27/2018,168.84,27266856
9/26/2018,166.95,25252231
9/25/2018,164.91,27622806
9/24/2018,165.41,19222775
9/21/2018,162.93,45994800
9/20/2018,166.02,18936038
9/19/2018,163.06,19628996
9/18/2018,160.3,22465236
9/17/2018,160.58,21005321
9/14/2018,162.32,21770405
9/13/2018,161.36,25453775
9/12/2018,162,24078118
9/11/2018,165.94,20457088
9/10/2018,164.18,20197680
9/7/2018,163.04,24300600
9/6/2018,162.53,41514834
9/5/2018,167.18,31226744
9/4/2018,171.16,29808971
8/31/2018,175.73,18065159
8/30/2018,177.64,24216532
8/29/2018,175.9,18678301
8/28/2018,176.26,15910675
8/27/2018,177.46,17921935
8/24/2018,174.645,14631556
8/23/2018,172.9,18053567
8/22/2018,173.64,16894083
8/21/2018,172.62,19578514
8/20/2018,172.5,21518006
8/17/2018,173.8,24893176
8/16/2018,174.7,31351784
8/15/2018,179.53,33020231
8/14/2018,181.11,19101995
8/13/2018,180.05,17423264
8/10/2018,180.26,21500410
8/9/2018,183.09,19732120
8/8/2018,185.18,22205230
8/7/2018,183.81,33398562
8/6/2018,185.69,49716192
8/3/2018,177.78,24763434
8/2/2018,176.37,32399954
8/1/2018,171.65,34042109
7/31/2018,172.58,40356471
7/30/2018,171.06,65280787
7/27/2018,174.89,60073749
7/26/2018,176.26,169803668
7/25/2018,217.5,64618763
